"Name","Symbol","Decimals","Mainnet Address","Asset Type","Derivative Type","Uniswap Pair","Chainlink Description","Chainlink Proxy","Chainlink Aggregator (for Testnet)"
"Uniswap V2","UNI-V2",18,"0x004375dff511095cc5a197a54140a24efef3a416","Derivative","UniswapV2Pool","WBTC-USDC",,,
"Uniswap V2","UNI-V2",18,"0xbb2b8038a1640196fbe3e38816f3e67cba72d940","Derivative","UniswapV2Pool","WBTC-WETH",,,
"Uniswap V2","UNI-V2",18,"0x23bff8ca20aac06efdf23cee3b8ae296a30dfd27","Derivative","UniswapV2Pool","wNXM-WETH",,,
"Uniswap V2","UNI-V2",18,"0x2fdbadf3c4d5a8666bc06645b8358ab803996e28","Derivative","UniswapV2Pool","YFI-WETH",,,
"Uniswap V2","UNI-V2",18,"0xc6f348dd3b91a56d117ec0071c1e9b83c0996de4","Derivative","UniswapV2Pool","ZRX-WETH",,,
"USD Coin","USDC",6,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","Primitive",,,"USDC / ETH","0x986b5e1e1755e3c2440e960477f25201b0a8bbd4","0x00d02526ca08488342ab634de3b2d0050ecc7f60"
"Tether USD","USDT",6,"0xdac17f958d2ee523a2206206994597c13d831ec7","Primitive",,,"USDT / ETH","0xee9f2375b4bdf6387aa8265dd4fb8f16512a1d46","0x1058a82c25f55ab8ab0ce717f3e6e164e80f1a0b"
"Wrapped BTC","WBTC",8,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Primitive",,,"BTC / ETH","0xdeb288f737066589598e9214e782fa5a8ed689e8","0xbd72da70007e47aaf1bbd84918675392cf6885f7"
"wrapped-DGLD","wDGLD",8,"0x123151402076fc819b7564510989e475c9cd93ca","Derivative","DGLD",,"XAU / USD","0x214ed9da11d2fbe465a6fc601a91e62ebec1a0d6","0x06a7689149cf04dacfde555d1e1ead7dd7370316"
"Wrapped Ether","WETH",18,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Primitive",,,"n/a","n/a","n/a"
"Wrapped NXM","wNXM",18,"0x0d438f3b5175bebc262bf23753c1e53d03432bde","Primitive",,,"WNXM / ETH","0xe5dc0a609ab8bcf15d3f35cfaa1ff40f521173ea","0xc207e3c81e038d2cfddd6d86644ecb4e166605d8"
"yearn.finance","YFI",18,"0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e","Primitive",,,"YFI / ETH","0x7c5d4f8345e66f68099581db340cd65b078c41f4","0x4a03707a1bfefc2836a69b1a6a6bd752270041a9"
"0x Protocol Token","ZRX",18,"0xe41d2489571d322189246dafa5ebde1f4699f498","Primitive",,,"ZRX / ETH","0x2da4983a622a8498bb1a21fae9d8f6c664939962","0xe03b49682965a1eb5230d41f96e10896dc563f0d"
"Uniswap V2",,,"(no liquid pool)",,,"BNB",,,
